Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks,TOI/G,S%,Plus/Minus,Hits,Blocks/82,Plus/minus/82,Hits/82,G/82,A/82,P/82
3,D,25,3160000,Graves,3.90%,2019-2020,80.82857143,10.54285714,19.91428571,30.45714286,0.376811594,150,18.95,6.70%,40,112,178.2608696,47.53623188,133.1014493,10.69565217,20.20289855,30.89855072
4,D,25,2650000,Walker,3.30%,2019-2020,82,5.857142857,22.25714286,28.11428571,0.342857143,84,18.83333333,3.90%,-12,81,98.4,-14.05714286,94.88571429,5.857142857,22.25714286,28.11428571
2,D,25,1600000,Hagg,2%,2019-2020,57.4,3.514285714,11.71428571,15.22857143,0.265306122,79,15.6,7.90%,14,136,132.2040816,23.42857143,227.5918367,5.020408163,16.73469388,21.75510204
13,D,26,5538462,Keith,9.80%,2008-2009,77,8,36,44,0.571428571,92,25.56666667,4.60%,33,40,97.97402597,35.14285714,42.5974026,8.519480519,38.33766234,46.85714286
14,D,26,7857143,Weber,13.10%,2011-2012,78,19,30,49,0.628205128,140,26.16666667,8.30%,21,177,147.1794872,22.07692308,186.0769231,19.97435897,31.53846154,51.51282051
8,D,26,7250000,Letang,11.30%,2012-2013,59.79166667,8.541666667,56.375,64.91666667,1.085714286,59,25.63333333,5.30%,16,43,138.2285714,37.48571429,100.7428571,11.71428571,77.31428571,89.02857143
6,D,26,5000000,DeKeyser,6.80%,2015-2016,78,8,12,20,0.256410256,107,21.8,11.10%,2,88,112.4871795,2.102564103,92.51282051,8.41025641,12.61538462,21.02564103
3,D,26,4000000,Gudbranson,5.30%,2016-2017,30,1,5,6,0.2,44,20.33333333,2.50%,-14,66,120.2666667,-38.26666667,180.4,2.733333333,13.66666667,16.4
4,D,26,2500000,McNabb,3.30%,2016-2017,49,2,2,4,0.081632653,54,15.06666667,4.30%,1,110,90.36734694,1.673469388,184.0816327,3.346938776,3.346938776,6.693877551
8,D,26,8250000,OEL,10.40%,2017-2018,82,14,28,42,0.512195122,79,23.68333333,6.90%,-28,160,79,-28,160,14,28,42
3,D,26,2350000,Johns,3%,2017-2018,75,8,7,15,0.2,155,17.55,6.10%,10,201,169.4666667,10.93333333,219.76,8.746666667,7.653333333,16.4
2,D,26,1400000,Oesterle,1.80%,2018-2019,71,6,14,20,0.281690141,97,20.51666667,5.10%,-3,62,112.028169,-3.464788732,71.6056338,6.929577465,16.16901408,23.09859155
2,D,26,1650000,Kukan,2%,2018-2019,25,0,5,5,0.2,28,15.96666667,2%,6,24,91.84,19.68,78.72,0,16.4,16.4
3,D,26,1633333,Harrington,2%,2018-2019,73,2,15,17,0.232876712,811,13.05,3.70%,6,73,910.9863014,6.739726027,82,2.246575342,16.84931507,19.09589041
1,D,26,1000000,Lyubushkin,1.20%,2019-2020,59.74285714,0,4.685714286,4.685714286,0.078431373,53,14.18333333,0,4,151,85.21568627,6.431372549,242.7843137,0,6.431372549,6.431372549
4,D,26,3687500,Grezlyk,4.50%,2019-2020,79.65714286,4.685714286,19.91428571,24.6,0.308823529,67,18.06666667,3.60%,15,56,80.79411765,18.08823529,67.52941176,4.823529412,20.5,25.32352941
1,D,26,3850000,Montour,4.70%,2019-2020,63.25714286,5.857142857,15.22857143,21.08571429,0.333333333,53,19.5,5.80%,13,60,80.48148148,19.74074074,91.11111111,7.592592593,19.74074074,27.33333333
4,D,26,4100000,D Toews,5%,2019-2020,79.65714286,7.028571429,25.77142857,32.8,0.411764706,75,20.51666667,4.90%,1,55,90.44117647,1.205882353,66.32352941,7.235294118,26.52941176,33.76470588
2,D,26,1700000,Stecher,2.10%,2019-2020,80.82857143,5.857142857,14.05714286,19.91428571,0.246376812,70,15.35,5.80%,10,69,83.1884058,11.88405797,82,5.942028986,14.26086957,20.20289855
3,D,26,3250000,Weegar,4%,2019-2020,52.71428571,8.2,12.88571429,21.08571429,0.4,71,20.11666667,9.10%,6,76,129.3777778,10.93333333,138.4888889,12.75555556,20.04444444,32.8
2,D,26,875000,Macdermid,1.10%,2019-2020,52.71428571,3.514285714,5.857142857,9.371428571,0.177777778,43,13.71666667,5.90%,-9,95,78.35555556,-16.4,173.1111111,5.466666667,9.111111111,14.57777778
3,D,26,2750000,Soucy,3.40%,2019-2020,64.42857143,8.2,8.2,16.4,0.254545455,50,15.63333333,11.50%,16,69,74.54545455,23.85454545,102.8727273,10.43636364,10.43636364,20.87272727
2,D,26,1000000,Benning,1.20%,2019-2020,50.37142857,1.171428571,8.2,9.371428571,0.186046512,34,13.23333333,2.60%,8,78,64.8372093,15.25581395,148.744186,1.906976744,13.34883721,15.25581395
2,D,26,5000000,Pulock,6.10%,2019-2020,79.65714286,11.71428571,29.28571429,41,0.514705882,139,22.4,6.10%,8,110,167.6176471,9.647058824,132.6470588,12.05882353,30.14705882,42.20588235
2,D,26,1200000,Brown,1.50%,2019-2020,65.6,3.514285714,5.857142857,9.371428571,0.142857143,53,13.41666667,6.30%,1,77,77.60714286,1.464285714,112.75,4.392857143,7.321428571,11.71428571
1,D,26,1250000,Ceci,1.50%,2019-2020,65.6,1.171428571,8.2,9.371428571,0.142857143,79,20.53333333,2.10%,7,92,115.6785714,10.25,134.7142857,1.464285714,10.25,11.71428571
2,D,26,1150000,Riikola,1.40%,2019-2020,42.17142857,1.171428571,7.028571429,8.2,0.194444444,24,13.88333333,2.60%,3,74,54.66666667,6.833333333,168.5555556,2.277777778,13.66666667,15.94444444
13,D,27,7538462,Suter,12.60%,2011-2012,79,7,39,46,0.582278481,116,26.5,5.20%,15,46,120.4050633,15.56962025,47.74683544,7.265822785,40.48101266,47.74683544
6,D,27,4000000,Martinez,5.80%,2013-2014,61,11,11,22,0.360655738,75,15.68333333,13.90%,17,96,100.8196721,22.85245902,129.0491803,14.78688525,14.78688525,29.57377049
7,D,27,6000000,EJ,8.20%,2014-2015,47,12,11,23,0.489361702,107,24.41666667,10.40%,2,93,186.6808511,3.489361702,162.2553191,20.93617021,19.19148936,40.12765957
6,D,27,5500000,Petry - 1,8%,2014-2015,78,5,17,22,0.282051282,109,21.25,5.60%,-28,145,114.5897436,-29.43589744,152.4358974,5.256410256,17.87179487,23.12820513
5,D,27,2750000,Moore,3.50%,2017-2018,81,7,11,18,0.222222222,105,20.01666667,5%,3,135,106.2962963,3.037037037,136.6666667,7.086419753,11.13580247,18.22222222
4,D,27,4550000,De Haan,5.70%,2017-2018,33,1,11,12,0.363636364,65,18.75,2.30%,11,45,161.5151515,27.33333333,111.8181818,2.484848485,27.33333333,29.81818182
8,D,27,6250000,Ellis,7.90%,2017-2018,44,9,23,32,0.727272727,84,23.35,8.20%,26,27,156.5454545,48.45454545,50.31818182,16.77272727,42.86363636,59.63636364
6,D,27,5950000,Schmidt,7.50%,2017-2018,61,9,21,30,0.491803279,121,22.23333333,4.90%,22,41,162.6557377,29.57377049,55.1147541,12.09836066,28.2295082,40.32786885
4,D,27,2500000,Kempny,3.10%,2017-2018,31,1,6,7,0.225806452,82,15.91666667,3.70%,13,57,216.9032258,34.38709677,150.7741935,2.64516129,15.87096774,18.51612903
2,D,27,3000000,Nemeth,3.70%,2018-2019,74,1,9,10,0.135135135,131,16.48333333,1.80%,5,137,145.1621622,5.540540541,151.8108108,1.108108108,9.972972973,11.08108108
7,D,27,6500000,Faulk,8%,2018-2019,82,11,24,35,0.426829268,121,22.41666667,5.10%,9,156,121,9,156,11,24,35
